Year,StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
2010,"CO",8,2,733438,205814,111546,194859,120844,39551,9585,41036,10203
2010,"CO",8,3,706811,171809,136088,164995,142608,36544,12699,30469,11599
2010,"CO",8,4,728198,202465,122744,192224,135251,32194,7930,28156,7234
2010,"CO",8,5,729036,185732,116164,172543,125409,50848,16361,43786,18193
2010,"CO",8,6,806019,213004,141504,206813,155429,30570,12370,34453,11876
2010,"CO",8,7,678723,159740,100039,146812,111427,63920,18469,58398,19918
2010,"CT",9,1,714355,133930,114216,129514,135098,72316,23886,74009,31386
2010,"CT",9,2,728260,174095,141434,168230,155840,37063,11241,29096,11261
2010,"CT",9,3,708522,146722,117113,145889,138422,57922,18485,60656,23313
2010,"CT",9,4,708439,146093,113971,142377,129114,63633,21931,62070,29250
2010,"CT",9,5,717497,143472,128992,145317,148117,55681,16722,60472,18724
2010,"DE",10,0,899769,171826,138423,168714,157089,91307,35052,93895,43463
2010,"DC",11,98,604453,85186,35349,88136,34234,105497,59697,116536,79818
2010,"FL",12,1,694518,157893,115442,144315,123953,55648,21543,50597,25127
2010,"FL",12,2,740991,152696,115806,140430,124834,75457,27868,71149,32751
2010,"FL",12,3,632698,78447,55367,70284,54443,122978,53565,130768,66846
2010,"FL",12,4,745318,160789,118981,153764,131654,66730,20886,66700,25814
2010,"FL",12,5,947474,180689,222939,186924,242647,42863,16875,34843,19694
2010,"FL",12,6,813316,167086,135942,163169,159904,67202,21620,68357,30036
2010,"FL",12,7,821230,167634,155877,172655,175030,51292,22496,50205,26041
2010,"FL",12,8,823569,193463,128213,178153,140170,69691,22306,64920,26653
2010,"FL",12,9,756304,165912,147180,168954,169731,37687,12568,39696,14576
2010,"FL",12,10,632258,126517,143769,118362,167621,26988,9698,28693,10610
2010,"FL",12,11,677169,125972,81416,122627,90789,87415,33774,89472,45704
2010,"FL",12,12,836748,176721,134656,167458,152107,73867,26945,74443,30551
2010,"FL",12,13,762806,142695,185680,132883,214889,32837,10523,31114,12185
2010,"FL",12,14,855127,154381,203441,148980,228035,48644,13722,42137,15787
2010,"FL",12,15,816349,166701,161069,166331,180282,47395,19237,49407,25927
2010,"FL",12,16,796777,144653,178614,145602,198061,46277,19491,45130,18949
2010,"FL",12,17,632219,55860,43916,58350,49969,131746,63406,145620,83352
2010,"FL",12,18,717062,172818,128451,166102,140143,40617,13754,36445,18732
