StateAbbreviation,StateFIPS,CongressionalDistrict,Population,WMY,WMO,WFY,WFO,NWMY,NWMO,NWFY,NWFO
"MA",25,1,736460,0.2141256823181164,0.18971023545066942,0.22185183173560002,0.22138744806235233,5.70825299405263e-2,1.8879504657415204e-2,5.42296933981479e-2,2.273307443717242e-2
"MA",25,2,744124,0.22169826534287296,0.1829332208072848,0.21478812671006445,0.2086251753739968,6.265219237653939e-2,2.097499879052416e-2,6.588014900742349e-2,2.2447871591293925e-2
"MA",25,3,769115,0.22724950104990801,0.17340969815957302,0.20984508168479357,0.1959576916325907,6.922371816958452e-2,2.993700551933066e-2,6.536213700161875e-2,2.901516678260078e-2
"MA",25,4,752077,0.2154899032944765,0.1937740417537034,0.22777720898259088,0.21711074796862556,5.1593121449000565e-2,1.960969422013969e-2,5.5258969493815126e-2,1.9386312837648273e-2
"MA",25,5,766210,0.20515263439527023,0.16006969368710927,0.2051839574007126,0.1866433484292818,8.575977865076154e-2,3.1523994727294086e-2,8.985656673757847e-2,3.581002597199201e-2
"MA",25,6,774450,0.21222028536380658,0.2023694234618116,0.20783007295500033,0.23715798308476985,5.4570340241461686e-2,1.626831945251469e-2,4.8797210923881465e-2,2.0786364516753825e-2
"MA",25,7,806820,0.17593267395453757,7.907463870503954e-2,0.17157730348776679,8.206291366103964e-2,0.16417416524131775,6.772638258843361e-2,0.17140626161969214,8.804566074217297e-2
"MA",25,8,762640,0.19618955208224065,0.16321068918493653,0.19535167313542431,0.19049617119479703,8.710925207175076e-2,3.4528742263715516e-2,8.808349942305675e-2,4.5030420644078466e-2
"MA",25,9,747923,0.21079843780710047,0.2182270099996925,0.1953824123606307,0.25837552796210306,4.1068398752277975e-2,1.8564745301321125e-2,4.018729200733231e-2,1.739617580954189e-2
"MI",26,1,698974,0.22023279835873724,0.24148966914363051,0.20594471325113667,0.25244858893177713,3.135023620334948e-2,1.3604225622126145e-2,2.289355541121701e-2,1.2036213078025793e-2
"MI",26,2,737365,0.23370108426627248,0.18063238694540695,0.23311521431041615,0.19831155533555295,5.783024689265154e-2,1.740115139720491e-2,5.874024397686356e-2,2.0268116875631473e-2
"MI",26,3,743830,0.24694755522095102,0.17086162160708765,0.2372612021564067,0.18400440960972264,6.331554252987914e-2,2.2444644609655433e-2,5.278625492384013e-2,2.237876934245728e-2
"MI",26,4,702994,0.2517261882747221,0.21571734609399226,0.24115141807753693,0.23047138382404403,2.3920545552309123e-2,9.476610042190971e-3,1.9957496081047632e-2,7.579012054156935e-3
"MI",26,5,677788,0.19753816827680631,0.17992499129521325,0.18998123306992748,0.20334529380868355,7.556197513086688e-2,3.3449987311666776e-2,7.39597042142971e-2,4.623864689253867e-2
"MI",26,6,718436,0.2333582949629473,0.1853916006436203,0.2249998608087568,0.20306332088035678,5.5804553223947576e-2,1.9932186026312713e-2,5.4585237933511124e-2,2.2864945520547412e-2
